,thread_id,comprehension,understands_instructions,grasps_new_concepts,retains_information,attention,focus_duration,task_completion,follows_routines,participation,class_engagement,asks_questions,group_work,number_sense,problem_solving,mathematical_reasoning,calculation_accuracy,geometry_skills,scientific_inquiry,experimental_skills,data_interpretation,scientific_concepts,lab_work,reading_comprehension,writing_skills,grammar_usage,vocabulary,verbal_expression,historical_understanding,geographic_awareness,cultural_comprehension,current_events_knowledge,analysis_of_social_issues,creative_expression,technical_skills,visual_understanding,design_thinking
0,2039aa2b-778e-4cf9-93b7-e8d0005184e8,4,5,4.0,5,4,5,5,4,5,4,3,0.0,3.0,4.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,0.0,4,2,3,3,3,0.0,0.0,0.0,0.0,0.0,5,3.0,4.0,4.0
1,292c52b6-d12e-4d62-b37d-291a4d8d5a87,2,3,2.0,2,2,1,1,1,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
2,0153e4de-6a93-4ff6-94e9-db5715223d1e,4,4,0.0,4,4,4,5,4,5,4,1,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,4,2,3,3,3,0.0,0.0,0.0,0.0,0.0,5,3.0,0.0,4.0
3,2a662854-4ad9-4850-8f2c-2b88bbab3f86,2,2,2.0,2,2,2,2,2,1,2,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
4,5656d38e-fa94-498a-88de-180dd9482ed7,4,4,4.0,5,5,5,4,4,5,5,2,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4,4,5,5,4,4.0,0.0,4.0,0.0,5.0,4,4.0,4.0,4.0
5,63848867-e6b8-4e57-9a39-7dd183a06c9c,4,4,3.0,5,5,4,3,4,4,3,1,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,4,2,2,2,2,0.0,0.0,0.0,0.0,0.0,3,2.0,4.0,3.0
6,67ac0366-f218-43a5-94a5-e80e23b07b25,4,4,5.0,5,4,4,5,4,5,4,3,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,4,2,2,2,3,0.0,4.0,0.0,0.0,0.0,3,3.0,4.0,4.0
7,67fa74cb-ce16-4cc5-a687-cefc56c86c0d,4,4,4.0,5,4,5,5,4,5,4,3,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4,4,4,4,4,0.0,4.0,0.0,0.0,0.0,3,3.0,4.0,4.0
8,afc0df23-c352-45cf-8263-df2eabf9988b,4,5,3.0,4,4,4,4,4,3,4,3,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4,3,3,2,3,0.0,0.0,0.0,0.0,0.0,3,3.0,4.0,3.0
9,7291d197-1144-4c2c-91cd-7677e54f6ae5,4,5,4.0,4,4,4,5,4,5,4,3,0.0,5.0,4.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,4,5,4,4,4,4.0,0.0,0.0,0.0,0.0,5,3.0,5.0,3.0
10,78299855-4313-4652-8eff-623036d6473a,4,4,3.0,4,4,4,5,4,4,3,3,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,3,3,3,0.0,0.0,0.0,0.0,0.0,2,2.0,4.0,4.0
11,78784d2d-0f32-4da1-927a-731f25d22800,4,4,4.0,4,4,4,5,4,5,4,4,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4,3,3,2,2,0.0,0.0,0.0,0.0,0.0,3,3.0,4.0,3.0
12,b6052c1b-1c48-49b7-bbde-8321a0837290,1,1,1.0,1,1,1,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,3.0
13,c3deb971-136f-49f7-8400-01385edec2f3,3,3,3.0,3,3,3,3,3,3,2,3,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,4,4,4,0.0,0.0,0.0,0.0,0.0,3,3.0,4.0,3.0
14,cca2e5d6-c200-4ad5-8f43-334a6ad27eee,4,4,0.0,4,4,4,4,4,5,4,3,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,4,4.0,4.0,4.0
15,de8d425e-6562-486d-aa7f-802e823c43f7,5,5,5.0,4,4,4,5,4,4,4,3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,3,4.0,4.0,4.0
16,c87d3d5a-f5dc-42b8-8528-94a2c708c6d0,4,5,4.0,5,4,5,5,4,5,4,3,0.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,3.0,5.0,0.0,4,2,3,3,3,0.0,0.0,0.0,0.0,0.0,5,3.0,4.0,4.0
17,d542f546-6798-4377-8735-7504e22a064b,2,3,2.0,3,3,1,2,3,3,3,2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,3,2,2,2,2,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.0
18,0bd0618c-2815-42c5-a910-fbeaaa1e7be6,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
19,1034b264-d7f2-468e-93b4-8b2816341095,2,1,1.0,1,1,1,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0
20,1354b765-26a9-4124-891a-7d6ec754526d,1,1,1.0,1,1,1,1,2,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,1.0
21,14320fd2-355a-41f5-91d9-f0481374ca7c,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
22,16514f25-7b9d-48da-add2-ed5a2d862ad0,4,4,5.0,5,5,5,5,5,4,4,1,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,3,3,3,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
23,1a2228d0-61e0-4c3f-b3cd-9003cc2230e5,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
24,1d756add-6a90-40fb-a13a-9a0505257110,3,3,2.0,2,1,1,1,2,2,4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1.0,2.0,2.0
25,20743cb7-aca1-4880-9994-e3ea9a24d8ec,0,2,0.0,0,1,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
26,218f0f2f-ee34-4721-a6b2-8dba22d9afd9,0,0,0.0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
